1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
500,531.41,631.41,662.83,762.83,803.67,903.67,935.08,1035.08,1075.93,1195.93,1236.77,1366.77,1407.61,1507.61,1539.03,1639.03,1670.44,1770.44,1811.28,3611.28,3652.12,3752.12,3783.54,3883.54,3924.38,4024.38,4065.22,4165.22,4196.64,4306.64,4338.05,4478.05,4509.47,4609.47,4650.31,4750.31,4791.15,4891.15,4922.57,5022.57,5063.41,6863.41,6904.43,7004.43,7045.09,7155.09,7186.51,7286.51,7327.35,7427.35,7458.76,7558.76,7590.18,7690.18,7731.02,7831.02,7871.86,8001.86,8042.7,8142.7,8174.12,8274.12,8305.53,8445.53,8476.95,8576.95,8617.89,10617.89,10658.73,10758.73,10790.15,10890.15,10930.99,11050.99,11091.83,11191.83,11223.25,11323.25,11354.66,11494.66,11526.08,11626.08,11666.92,11786.92,11818.33,11918.33,11959.17,12059.17,12100.02,12210.02,12241.43
1,0,1,0,2,0,1,0,2,0,2,0,2,0,1,0,1,0,2,0,2,0,1,0,2,0,2,0,1,0,1,0,1,0,2,0,2,0,1,0,2,0,2,0,2,0,1,0,2,0,1,0,1,0,2,0,2,0,2,0,1,0,1,0,1,0,2,0,2,0,1,0,2,0,2,0,1,0,1,0,1,0,2,0,1,0,2,0,2,0,1,0
